year	gvkey	prodmktfluid
1989	1003	4.425727061
1989	1004	24.93290163
1989	1009	1.626053006
1989	1011	10.35309923
1989	1013	6.200877008
1989	1017	3.478227177
1989	1028	7.38707611
1989	1034	6.253158051
1989	1036	4.919975903
1989	1038	9.164004609
1989	1043	4.564102236
1989	1045	8.413320962
1989	1050	6.915173917
1989	1054	4.529256853
1989	1055	6.322321133
1989	1056	7.483328063
1989	1065	8.941233381
1989	1073	7.404077916
1989	1075	22.49599529
1989	1076	3.7409852
1989	1078	5.251943669
1989	1081	6.838264779
1989	1082	5.161759367
1989	1095	11.49067005
1989	1097	13.97732964
1989	1098	3.642048517
1989	1099	2.242254102
1989	1104	4.819965819
1989	1108	2.278903229
1989	1109	3.073259098
1989	1111	3.869040106
1989	1115	17.7901048
1989	1117	5.625331868
1989	1121	29.51683161
1989	1126	2.204820252
1989	1128	6.415966104
1989	1137	5.630221336
1989	1138	6.582063509
1989	1141	7.231714323
1989	1148	7.212299233
1989	1151	6.245174811
1989	1154	4.273271294
1989	1155	3.987214133
1989	1161	6.822811638
1989	1164	6.295694642
1989	1171	8.130096231
1989	1173	0.6185528556
1989	1177	10.40455026
1989	1178	7.394941761
1989	1183	4.35827056
1989	1186	9.043708452
1989	1194	21.00297195
1989	1197	5.406609609
1989	1203	3.83095601
1989	1208	13.42441761
1989	1209	7.779382388
1989	1210	5.788526405
1989	1212	5.826089394
1989	1213	6.469416704
1989	1226	15.12117485
1989	1228	11.04966293
1989	1230	8.336811288
1989	1234	13.98225752
1989	1235	4.650322043
1989	1239	2.670746018
1989	1240	6.963872325
1989	1243	5.710582491
1989	1244	8.602687972
1989	1245	26.44026989
1989	1246	3.818860699
1989	1250	2.449509703
1989	1253	9.953305532
1989	1254	12.02633379
1989	1255	17.86288027
1989	1257	3.160830206
1989	1260	3.448005614
1989	1264	4.257599644
1989	1266	5.253420689
1989	1274	15.14310318
1989	1278	12.26083054
1989	1279	14.69800578
1989	1281	3.733899495
1989	1283	3.884389424
1989	1286	8.946836881
1989	1297	5.760540469
1989	1299	2.959213093
1989	1300	7.735852362
1989	1311	5.836382748
1989	1318	7.271930112
1989	1324	4.779080519
1989	1327	3.212640906
1989	1328	7.805740463
1989	1331	7.669938964
1989	1334	5.413547972
1989	1350	5.601924474
1989	1351	4.463938064
1989	1360	6.130104615
1989	1363	4.952821397
1989	1365	14.94696477
1989	1369	3.525848911
1989	1372	3.339899139
1989	1380	6.833438744
1989	1392	4.160709186
1989	1397	1.849300757
1989	1408	9.890223774
1989	1410	4.774524285
1989	1416	23.86063881
1989	1419	6.753636998
1989	1430	5.243615529
1989	1431	4.571573202
1989	1439	13.53395193
1989	1440	25.31598851
1989	1441	4.404835054
1989	1444	7.613290188
1989	1446	6.756707225
1989	1447	24.28520855
1989	1449	6.355316814
1989	1456	5.303043639
1989	1462	3.932728088
1989	1465	11.89208458
1989	1468	2.977186004
1989	1470	3.211547588
1989	1474	9.399943824
1989	1475	9.211111476
1989	1477	11.58118362
1989	1478	4.359752506
1989	1485	12.2762627
1989	1487	11.18155545
1989	1495	1.62128472
1989	1496	6.651491307
1989	1497	11.17927923
1989	1498	6.118388854
1989	1500	13.91534615
1989	1506	5.855983546
1989	1511	2.70879194
1989	1513	10.01956052
1989	1518	5.513086626
1989	1523	6.212782934
1989	1527	10.92297645
1989	1530	6.187026663
1989	1532	12.92183171
1989	1533	9.542996458
1989	1537	5.502920089
1989	1539	11.24178146
1989	1542	3.995750718
1989	1543	24.85927386
1989	1544	12.20986026
1989	1545	14.34070404
1989	1554	5.365762053
1989	1559	7.432699649
1989	1560	3.61426056
1989	1573	24.61477577
1989	1577	5.208289883
1989	1581	7.397766942
1989	1585	6.314797247
1989	1586	3.224508647
1989	1587	3.392479846
1989	1590	11.92754459
1989	1593	4.56380934
1989	1594	3.798165187
1989	1595	7.413402951
1989	1597	9.075164001
1989	1598	16.35642867
1989	1602	6.928252021
1989	1606	4.330045711
1989	1608	2.270602978
1989	1609	26.90270803
1989	1611	13.35504349
1989	1613	2.440397876
1989	1618	5.989895048
1989	1619	7.969847984
1989	1627	5.496423409
1989	1632	3.87888035
1989	1633	5.30770063
1989	1634	2.267149173
1989	1635	5.154175361
1989	1640	7.159476138
1989	1642	9.702806156
1989	1650	2.451019967
1989	1651	5.807341513
1989	1652	5.77255264
1989	1654	11.39902414
1989	1661	10.51084938
1989	1663	7.068379453
1989	1675	3.146174858
1989	1677	3.563462833
1989	1678	11.28143951
1989	1682	14.77010213
1989	1690	7.052793143
1989	1693	7.413022592
1989	1696	4.931217135
1989	1703	4.660452293
1989	1704	4.347032692
1989	1706	4.226957212
1989	1707	5.704226865
1989	1712	12.33280261
1989	1718	9.158943152
1989	1721	5.468569564
1989	1724	4.921701067
1989	1728	5.091186169
1989	1729	2.87249358
1989	1739	7.165391483
1989	1746	13.68360433
1989	1753	4.927310641
1989	1754	2.926328385
1989	1755	10.53108796
1989	1762	3.303588237
1989	1766	6.387462124
1989	1772	4.073078394
1989	1773	5.904074873
1989	1779	6.989951839
1989	1780	5.525136613
1989	1781	2.737477121
1989	1783	2.598749296
1989	1786	4.452392218
1989	1789	4.008696357
1989	1794	13.75324896
1989	1795	5.941140699
1989	1797	13.04708155
1989	1798	4.173256276
1989	1802	9.304183546
1989	1811	19.83232394
1989	1819	7.166673678
1989	1820	4.436138011
1989	1822	5.765019632
1989	1823	3.288068272
1989	1824	3.607153745
1989	1832	3.684800101
1989	1833	6.070583266
1989	1835	6.179084784
1989	1837	14.28411859
1989	1843	22.27426522
1989	1848	27.56260169
1989	1849	6.764123271
1989	1856	5.930469001
1989	1860	8.247299115
